décorer| [sound:d%C3%A9corer.mp3]| to decorate
découdre| [sound:d%C3%A9coudre.mp3]| to take the stitches out of| to take off/out, to come off
décourager| [sound:d%C3%A9courager.mp3]| to discourage
découvrir| [sound:d%C3%A9couvrir.mp3]| to discover, uncover
se dédire| [sound:se+d%C3%A9dire.mp3]| to retract
déduire| [sound:d%C3%A9duire.mp3]| to deduce, infer, deduct
défaillir| [sound:d%C3%A9faillir.mp3]| to faint, falter
défaire| [sound:d%C3%A9faire.mp3]| to undo, untie
défendre| [sound:d%C3%A9fendre.mp3]| to defend, forbid, prohibit
défricher| [sound:d%C3%A9fricher.mp3]| to clear, open up, prepare the ground
dégager| [sound:d%C3%A9gager.mp3]| to free, clear (out), remove| to give off, emit
déjeuner| [sound:d%C3%A9jeuner.mp3]| to have lunch or breakfast
déménager| [sound:d%C3%A9m%C3%A9nager.mp3]| to move (furniture, etc.)
demeurer| [sound:demeurer.mp3]| to reside, live, remain, stay
démolir| [sound:d%C3%A9molir.mp3]| to demolish
dénoncer| [sound:d%C3%A9noncer.mp3]| to denounce, terminate
dépasser| [sound:d%C3%A9passer.mp3]| to pass, go beyond, exceed
dépeindre| [sound:d%C3%A9peindre.mp3]| to depict, describe, portray
dépendre| [sound:d%C3%A9pendre.mp3]| to depend (on)| to be dependent (on)| to take down (something that is hanging)
dépenser| [sound:d%C3%A9penser.mp3]| to spend (money)
déplaire| [sound:d%C3%A9plaire.mp3]| to displease
déranger| [sound:d%C3%A9ranger.mp3]| to disturb, derange
désirer| [sound:d%C3%A9sirer.mp3]| to desire<br />
désobéir| [sound:d%C3%A9sob%C3%A9ir.mp3]| to disobey
dessiner| [sound:dessiner.mp3]| to draw, sketch
déteindre| [sound:d%C3%A9teindre.mp3]| to take the color out of | to fade, rub off
détenir| [sound:d%C3%A9tenir.mp3]| to hold, detain| to be in power
détourner| [sound:d%C3%A9tourner.mp3]| to turn aside, turn away, divert
détruire| [sound:d%C3%A9truire.mp3]| to destroy
développer| [sound:d%C3%A9velopper.mp3]| to develop, spread out
dévêtir| [sound:d%C3%A9v%C3%AAtir.mp3]| to undress
deviner| [sound:deviner.mp3]| to guess
diminuer| [sound:diminuer.mp3]| to diminish, decrease, lesson
dîner| [sound:d%C3%AEner.mp3]| to dine (have dinner)
diriger| [sound:diriger.mp3]| to run, manage, lead, conduct, steer, pilot, direct, supervice
discourir| [sound:discourir.mp3]| to make a speech (discourse)
discuter| [sound:discuter.mp3]| to discuss, argue
disparaître| [sound:dispara%C3%AEtre.mp3]| to disappear
dissoudre| [sound:dissoudre.mp3]| to dissolve, disband
divorcer| [sound:divorcer.mp3]| to get divorced
doubler| [sound:doubler.mp3]| to double, repeat, dub
échapper| [sound:%C3%A9chapper.mp3]| to escape, avoid
échouer| [sound:%C3%A9chouer.mp3]| to fail, run aground
éclore| [sound:%C3%A9clore.mp3]| to open, hatch
éconduire| [sound:%C3%A9conduire.mp3]| to dismiss, reject, turn away
écraser| [sound:%C3%A9craser.mp3]| to crush, squash, stub out, mash, grind, pound, flatten
effrayer| [sound:effrayer.mp3]| to frighten
égayer| [sound:%C3%A9gayer.mp3]| to amuse, cheer up, enliven, entertain
retirer| [sound:retirer.mp3]| to draw (out) again, pull again, take something out/off
inscrire| [sound:inscrire.mp3]| to note down, score
insister| [sound:insister.mp3]| to insist
instruire| [sound:instruire.mp3]| to instruct
interdire| [sound:interdire.mp3]| to forbid, prohibit
s'intéresser| [sound:s%27int%C3%A9resser.mp3]| to be interested in
interroger| [sound:interroger.mp3]| to question, ask, interrogate
interrompre| [sound:interrompre.mp3]| to interrupt
intervenir| [sound:intervenir.mp3]| to intervene, play a part, give a talk
introduire| [sound:introduire.mp3]| to introduce, show in
inventer| [sound:inventer.mp3]| to invent, devise, make up
jaillir| [sound:jaillir.mp3]| to spurt out, gush out, flow, ring out, spring out, shoot out
jaser| [sound:jaser.mp3]| to chatter
jaunir| [sound:jaunir.mp3]| to turn yellow
jeter| [sound:jeter.mp3]| to throw, cast
joindre| [sound:joindre.mp3]| to join, contact
jouir| [sound:jouir.mp3]| to enjoy
juger| [sound:juger.mp3]| to judge, deem
jurer| [sound:jurer.mp3]| to swear, vow
kidnapper| [sound:kidnapper.mp3]| to kidnap
klaxonner| [sound:klaxonner.mp3]| to honk
lâcher| [sound:l%C3%A2cher.mp3]| to loosen, unleash, let go
laisser| [sound:laisser.mp3]| to let, allow, leave (alone)
lancer| [sound:lancer.mp3]| to hurl, launch, throw
loger| [sound:loger.mp3]| to live, lodge
louer| [sound:louer.mp3]| to praise, rent, rent out
luire| [sound:luire.mp3]| to shine, glisten, glimmer, twinkle
maigrir| [sound:maigrir.mp3]| to lose weight, grow thin
maintenir| [sound:maintenir.mp3]| to maintain, support
manquer| [sound:manquer.mp3]| to miss, lack
marcher| [sound:marcher.mp3]| to walk, march, run (machine), function
maudire| [sound:maudire.mp3]| to curse
méconnaître| [sound:m%C3%A9conna%C3%AEtre.mp3]| to misjudge, misunderstand, not to know, not to recognize
médire| [sound:m%C3%A9dire.mp3]| to malign, slander
mélanger| [sound:m%C3%A9langer.mp3]| to mix, blend, shuffle
menacer| [sound:menacer.mp3]| to threaten
mener| [sound:mener.mp3]| to lead, control
mentir| [sound:mentir.mp3]| to lie
mépriser| [sound:m%C3%A9priser.mp3]| to despise, scorn
mériter| [sound:m%C3%A9riter.mp3]| to deserve, to call for, merit
mesurer| [sound:mesurer.mp3]| to measure
modérer| [sound:mod%C3%A9rer.mp3]| to moderate, restrain, reduce
montrer| [sound:montrer.mp3]| to show, display, exhibit, point out
moquer| [sound:moquer.mp3]| to mock, make fun of
mordre| [sound:mordre.mp3]| to bite
moudre| [sound:moudre.mp3]| to mill, grind
mouiller| [sound:mouiller.mp3]| to get something wet, dampen, baste, drop anchor
naviguer| [sound:naviguer.mp3]| to navigate, sail, browse, surf (internet)
négliger| [sound:n%C3%A9gliger.mp3]| to neglect, be careless about, pay no attention to
négocier| [sound:n%C3%A9gocier.mp3]| to negotiate
neutraliser| [sound:neutraliser.mp3]| to neutralize, overpower
nier| [sound:nier.mp3]| to deny
noircir| [sound:noircir.mp3]| to blacken, dirty, darken
nommer| [sound:nommer.mp3]| to name, appoint
nouer| [sound:nouer.mp3]| to tie, knot
nourrir| [sound:nourrir.mp3]| to feed, nourish
se noyer| [sound:se+noyer.mp3]| to drown
